Year,Quarter,Age at exploitation,Location of exploitation,NRM referrals
2017,Q2,Adult (18 or over),Total,712
2017,Q2,Child (17 or under),Overseas,163
2017,Q2,Child (17 or under),UK,198
2017,Q2,Child (17 or under),UK and Overseas,17
2017,Q2,Child (17 or under),Not specified or unknown,104
2017,Q2,Child (17 or under),Total,482
2017,Q2,Age not specified or unknown,Overseas,0
2017,Q2,Age not specified or unknown,UK,0
2017,Q2,Age not specified or unknown,UK and Overseas,0
2017,Q2,Age not specified or unknown,Not specified or unknown,0
2017,Q2,Age not specified or unknown,Total,0
2017,Q3,Adult (18 or over),Overseas,217
2017,Q3,Adult (18 or over),UK,384
2017,Q3,Adult (18 or over),UK and Overseas,108
2017,Q3,Adult (18 or over),Not specified or unknown,69
2017,Q3,Adult (18 or over),Total,778
2017,Q3,Child (17 or under),Overseas,176
2017,Q3,Child (17 or under),UK,234
2017,Q3,Child (17 or under),UK and Overseas,38
2017,Q3,Child (17 or under),Not specified or unknown,97
2017,Q3,Child (17 or under),Total,545
2017,Q3,Age not specified or unknown,Overseas,0
2017,Q3,Age not specified or unknown,UK,0
2017,Q3,Age not specified or unknown,UK and Overseas,0
2017,Q3,Age not specified or unknown,Not specified or unknown,0
2017,Q3,Age not specified or unknown,Total,0
2017,Q4,Adult (18 or over),Overseas,235
2017,Q4,Adult (18 or over),UK,371
2017,Q4,Adult (18 or over),UK and Overseas,133
2017,Q4,Adult (18 or over),Not specified or unknown,67
2017,Q4,Adult (18 or over),Total,806
2017,Q4,Child (17 or under),Overseas,180
2017,Q4,Child (17 or under),UK,351
2017,Q4,Child (17 or under),UK and Overseas,31
2017,Q4,Child (17 or under),Not specified or unknown,95
2017,Q4,Child (17 or under),Total,657
2017,Q4,Age not specified or unknown,Overseas,0
2017,Q4,Age not specified or unknown,UK,0
2017,Q4,Age not specified or unknown,UK and Overseas,0
2017,Q4,Age not specified or unknown,Not specified or unknown,0
2017,Q4,Age not specified or unknown,Total,0
2018,Q1,Adult (18 or over),Overseas,246
2018,Q1,Adult (18 or over),UK,440
2018,Q1,Adult (18 or over),UK and Overseas,135
2018,Q1,Adult (18 or over),Not specified or unknown,65
2018,Q1,Adult (18 or over),Total,886
2018,Q1,Child (17 or under),Overseas,202
2018,Q1,Child (17 or under),UK,414
2018,Q1,Child (17 or under),UK and Overseas,36
2018,Q1,Child (17 or under),Not specified or unknown,80
2018,Q1,Child (17 or under),Total,732
2018,Q1,Age not specified or unknown,Overseas,0
2018,Q1,Age not specified or unknown,UK,0
2018,Q1,Age not specified or unknown,UK and Overseas,0
2018,Q1,Age not specified or unknown,Not specified or unknown,0
2018,Q1,Age not specified or unknown,Total,0
2018,Q2,Adult (18 or over),Overseas,274
2018,Q2,Adult (18 or over),UK,455
2018,Q2,Adult (18 or over),UK and Overseas,134
2018,Q2,Adult (18 or over),Not specified or unknown,64
2018,Q2,Adult (18 or over),Total,927
2018,Q2,Child (17 or under),Overseas,214
2018,Q2,Child (17 or under),UK,423
2018,Q2,Child (17 or under),UK and Overseas,26
2018,Q2,Child (17 or under),Not specified or unknown,62
2018,Q2,Child (17 or under),Total,725
2018,Q2,Age not specified or unknown,Overseas,0
2018,Q2,Age not specified or unknown,UK,0
2018,Q2,Age not specified or unknown,UK and Overseas,0
2018,Q2,Age not specified or unknown,Not specified or unknown,0
2018,Q2,Age not specified or unknown,Total,0
2018,Q3,Adult (18 or over),Overseas,320
2018,Q3,Adult (18 or over),UK,456
2018,Q3,Adult (18 or over),UK and Overseas,136
2018,Q3,Adult (18 or over),Not specified or unknown,49
2018,Q3,Adult (18 or over),Total,961
2018,Q3,Child (17 or under),Overseas,202
2018,Q3,Child (17 or under),UK,452
2018,Q3,Child (17 or under),UK and Overseas,35
2018,Q3,Child (17 or under),Not specified or unknown,96
2018,Q3,Child (17 or under),Total,785
2018,Q3,Age not specified or unknown,Overseas,1
2018,Q3,Age not specified or unknown,UK,0
2018,Q3,Age not specified or unknown,UK and Overseas,0
2018,Q3,Age not specified or unknown,Not specified or unknown,0
2018,Q3,Age not specified or unknown,Total,1
2018,Q4,Adult (18 or over),Overseas,302
2018,Q4,Adult (18 or over),UK,559
2018,Q4,Adult (18 or over),UK and Overseas,164
2018,Q4,Adult (18 or over),Not specified or unknown,45
2018,Q4,Adult (18 or over),Total,1070
2018,Q4,Child (17 or under),Overseas,225
2018,Q4,Child (17 or under),UK,536
2018,Q4,Child (17 or under),UK and Overseas,52
2018,Q4,Child (17 or under),Not specified or unknown,74
2018,Q4,Child (17 or under),Total,887
2018,Q4,Age not specified or unknown,Overseas,0
2018,Q4,Age not specified or unknown,UK,0
2018,Q4,Age not specified or unknown,UK and Overseas,0
2018,Q4,Age not specified or unknown,Not specified or unknown,0
2018,Q4,Age not specified or unknown,Total,0
2019,Q1,Adult (18 or over),Overseas,419
2019,Q1,Adult (18 or over),UK,591
