Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,Final outcomes: Refused asylum or HP or DL or other leave,Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2008,Asia South East,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 8,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Middle East,Lebanon,50,39,1,10,0,28,10,1,22,3,19,0,0,1,10,6,1,3,2,12,25,10,1
2008,Africa Sub-Saharan,Lesotho,3,2,0,0,0,2,1,0,2,0,2,0,0,0,2,0,2,0,0,0,2,1,0
2008,Africa Sub-Saharan,Liberia,16,11,0,1,0,10,5,0,4,1,3,0,0,5,1,0,0,1,1,1,9,5,0
2008,Africa North,Libya,47,42,4,1,1,36,5,0,31,7,21,2,1,17,3,2,1,0,10,3,28,5,1
2008,Europe Other,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 8,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 14,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia East,Macau,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2008,Europe Other,Macedonia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,Africa Sub-Saharan,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Malawi,108,87,1,5,0,81,21,0,59,4,50,4,1,48,14,12,1,1,4,6,76,21,1
2008,Asia South East,Malaysia,36,24,2,2,0,20,12,0,13,1,10,1,1,19,9,3,4,2,3,2,18,12,1
2008,Asia South,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Mali,3,3,1,0,0,2,0,0,1,0,1,0,0,1,1,1,0,0,1,0,2,0,0
2008,EU Other,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa North,Mauritania,3,3,0,0,0,3,0,0,3,0,3,0,0,0,1,1,0,0,0,0,3,0,0
2008,Africa Sub-Saharan,Mauritius,22,21,0,0,0,21,1,0,8,0,5,2,1,7,3,2,1,0,0,0,20,1,1
2008,Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Mexico,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
2008,Oceania,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Moldova,17,11,2,2,0,7,6,0,2,0,1,0,1,6,4,3,1,0,2,1,7,6,1
2008,Europe Other,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia East,Mongolia,29,25,0,5,0,20,4,0,11,3,8,0,0,13,3,3,0,0,2,6,17,4,0
2008,Europe Other,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
